id,ticker,strike,expiry,price,size,date
1000881,AAPL,180,2024-01-12,1.14,100,2023-12-04
1000882,AAPL,185,2024-01-12,2.15,100,2023-12-04
1000883,AAPL,190,2024-01-12,3.95,100,2023-12-04
1000884,AAPL,195,2024-01-12,6.8,100,2023-12-04
1000885,AAPL,200,2024-01-12,11.45,100,2023-12-04
1000886,AAPL,205,2024-01-12,16.35,100,2023-12-04
1000887,AAPL,210,2024-01-12,21,100,2023-12-04
1000888,AAPL,215,2024-01-12,26.35,100,2023-12-04
1000889,AAPL,220,2024-01-12,31,100,2023-12-04
1000890,AAPL,225,2024-01-12,36.35,100,2023-12-04
1000891,AAPL,230,2024-01-12,41.35,100,2023-12-04
1000892,AAPL,235,2024-01-12,46.35,100,2023-12-04
1000893,AAPL,240,2024-01-12,51.45,100,2023-12-04
1000894,AAPL,245,2024-01-12,56.35,100,2023-12-04
1000895,AAPL,250,2024-01-12,61.3,100,2023-12-04
1000896,AAPL,255,2024-01-12,66.35,100,2023-12-04
1000897,AAPL,260,2024-01-12,71.3,100,2023-12-04
1000898,AAPL,265,2024-01-12,76.35,100,2023-12-04
1000899,AAPL,120,2024-01-19,0.05,100,2023-12-04
1000900,AAPL,125,2024-01-19,0.06,100,2023-12-04
1000901,AAPL,130,2024-01-19,0.07,100,2023-12-04
1000902,AAPL,135,2024-01-19,0.09,100,2023-12-04
1000903,AAPL,140,2024-01-19,0.1,100,2023-12-04
1000904,AAPL,145,2024-01-19,0.13,100,2023-12-04
1000905,AAPL,150,2024-01-19,0.15,100,2023-12-04
